food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
663177,none,tree nut,beef,main course,1.536,3,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""pescatarian""]",207.0,8g,8g,21g
659143,gluten free,gluten,garlic,main course,4.2776,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""pescatarian""]",440.0,18g,29g,27g
663150,vegan,dairy,onion,main course,2.1428,4,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",641.0,60g,41g,13g
1063645,ketogenic,gluten,onion,main course,4.3916,4,"[""gluten free""]",143.0,12g,9g,2g
654432,ketogenic,gluten,beef,main course,3.8258,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30"", ""ketogenic""]",491.0,6g,43g,20g
643514,ketogenic,none,mushrooms,main course,1.6934,1,"[""gluten free"", ""primal"", ""ketogenic""]",316.0,5g,25g,16g
646589,none,gluten,mushrooms,main course,2.5771,6,"[""gluten free"", ""dairy free""]",417.0,53g,8g,29g
660835,none,seafood,onion,main course,1.4553,6,"[""lacto ovo vegetarian""]",432.0,62g,14g,14g
659135,none,tree nut,none,main course,5.2046,2,"[""gluten free"", ""dairy free"", ""whole 30"", ""pescatarian""]",495.0,44g,18g,38g
659927,gluten free,tree nut,mushrooms,main course,11.5726,4,"[""gluten free"", ""dairy free"", ""pescatarian""]",639.0,53g,37g,33g
649495,ketogenic,seafood,beef,main course,1.1235,6,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",346.0,3g,26g,24g
654991,vegetarian,seafood,garlic,main course,1.2525,12,"[""lacto ovo vegetarian""]",373.0,40g,17g,14g
660306,none,seafood,garlic,main course,2.9881,6,"[""gluten free"", ""dairy free""]",586.0,48g,14g,65g
1096203,ketogenic,none,onion,main course,6.2845,2,"[""gluten free"", ""primal"", ""ketogenic""]",500.0,12g,38g,28g
652919,vegetarian,tree nut,mushrooms,main course,2.0518,4,"[""gluten free"", ""lacto ovo vegetarian""]",642.0,66g,34g,20g
1095830,ketogenic,seafood,none,main course,2.3186,4,"[""gluten free"", ""primal"", ""ketogenic""]",761.0,7g,59g,47g
664565,none,seafood,beef,main course,1.2365000000000002,4,[],412.0,79g,4g,18g
1098288,gluten free,gluten,garlic,main course,1.8382,2,"[""gluten free"", ""dairy free"", ""whole 30"", ""pescatarian""]",319.0,18g,20g,18g
1454187,vegetarian,gluten,beef,main course,0.6664,4,"[""gluten free"", ""lacto ovo vegetarian""]",249.0,25g,10g,14g
639850,none,dairy,garlic,main course,3.3432,4,"[""gluten free"", ""dairy free"", ""pescatarian""]",345.0,15g,18g,24g
638248,none,tree nut,onion,main course,3.1662,2,[],815.0,94g,31g,40g
660266,gluten free,tree nut,mushrooms,main course,2.1666,10,"[""gluten free"", ""dairy free"", ""whole 30""]",405.0,29g,20g,24g
654967,vegetarian,seafood,onion,main course,0.925,6,"[""lacto ovo vegetarian""]",375.0,33g,20g,12g
657379,vegetarian,tree nut,mushrooms,main course,2.3308,4,"[""gluten free"", ""lacto ovo vegetarian""]",447.0,33g,30g,14g
1697541,vegetarian,seafood,none,main course,3.8267,2,"[""lacto ovo vegetarian""]",805.0,95g,34g,29g
645265,gluten free,none,garlic,main course,3.6029,4,"[""gluten free""]",289.0,22g,18g,12g
1697553,none,dairy,onion,main course,4.7663,2,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""pescatarian""]",457.0,19g,25g,38g
